title;description;link;date_published
"Congreso otorga confianza al gabinete de Ernesto Álvarez: Acordamos ""darle tiempo para que cumpla con los compromisos asumidos""";"Congreso otorga confianza al gabinete de Ernesto Álvarez: Acordamos ""darle tiempo para que cumpla con los compromisos asumidos""";;
;;;
"Los parlamentarios Guido Bellido y Carlos Alva señalaron que su respaldo al gabinete busca dar estabilidad al Ejecutivo en medio de la crisis de inseguridad y la transición política.""";https://rpp.pe/politica/congreso/congreso-otorga-confianza-al-gabinete-de-ernesto-alvarez-acordamos-darle-tiempo-para-que-cumpla-con-los-compromisos-asumidos-noticia-1660609;2025-10-23T14:59:50;
Rafael Vela: Proceso disciplinario contra José Domingo Pérez es una represalia por su labor en 'caso Cócteles';Rafael Vela: Proceso disciplinario contra José Domingo Pérez es una represalia por su labor en 'caso Cócteles';;
;;;
"El coordinador del Equipo Especial Lava Jato aseguró que el inicio del proceso disciplinario contra el fiscal Pérez """"se condice"""" con supuestas """"acciones de represalia"""" anunciadas por Fuerza Popular tras conocerse la sentencia del TC.""";https://rpp.pe/politica/judiciales/rafael-vela-proceso-disciplinario-contra-jose-domingo-perez-es-una-represalia-por-su-labor-en-caso-cocteles-noticia-1660598;2025-10-23T15:00:15;
Poder Judicial ratificó sentencia de cadena perpetua contra Osmán Morote, excabecilla de Sendero Luminoso;Poder Judicial ratificó sentencia de cadena perpetua contra Osmán Morote, excabecilla de Sendero Luminoso;;
;;;
"Osmán Morote fue condenado a cadena perpétua por su participación en el atentado terrorista ocurrido en la calle Tarata, en Miraflores, en 1992.""";https://rpp.pe/politica/judiciales/poder-judicial-ratifico-sentencia-de-cadena-perpetua-contra-osman-morote-excabecilla-de-sendero-luminoso-noticia-1660667;2025-10-23T19:00:55;
Poder Judicial ratificó sentencia de cadena perpetua contra Osmán Morote, excabecilla de Sendero Luminoso;Poder Judicial ratificó sentencia de cadena perpetua contra Osmán Morote, excabecilla de Sendero Luminoso;;
;;;
"Osmán Morote fue condenado a cadena perpétua por su participación en el atentado terrorista ocurrido en la calle Tarata, en Miraflores, en 1992.""";https://rpp.pe/politica/judiciales/poder-judicial-ratifico-sentencia-de-cadena-perpetua-contra-osman-morote-excabecilla-de-sendero-luminoso-noticia-1660667;2025-10-23T19:00:55;
Crimen en Carabayllo: asesinan a alférez de la Policía dentro de su vehículo cerca de la casa de su pareja;Crimen en Carabayllo: asesinan a alférez de la Policía dentro de su vehículo cerca de la casa de su pareja;;
;;;
"Según información policial, Jordi Escobedo Mori, de 23 años, murió tras recibir impactos de bala en la cabeza y el cuello. La pareja de la víctima, quien se hallaba a su lado cuando ocurrió el crimen, relató a los policías que dos desconocidos llegaron caminando al lugar y le ordenaron que b""";https://rpp.pe/lima/policiales/crimen-a-carabayllo-asesinan-a-alferez-de-la-policia-dentro-de-su-vehiculo-cerca-de-la-casa-de-su-pareja-noticia-1660595;2025-10-23T12:55:09;
